政府帐号名,介绍,级别,是否环保部门,行政区划
江西发布,认证：江西省互联网信息办公室官方微博,省,否,江西省
金华发布,认证：浙江省金华市人民政府新闻办公室官方微博,市,否,浙江省金华市
浙江发布,认证：浙江省人民政府新闻办公室官方微博,省,否,浙江省
赣州发布,认证：江西省赣州市互联网信息办公室官方微博,市,否,江西省赣州市
江西安监,认证：江西省安全生产监督管理局官方微博,,否,江西省
宜春发布,认证：中共宜春市委网信办、宜春市互联网信息办公室官方微博,市,否,宜春市
萍乡发布,认证：中共萍乡市委宣传部、萍乡市人民政府新闻办公室,市,否,萍乡市
宁波垃圾分类,认证：宁波市生活垃圾分类管理办公室官方微博,市,否,宁波市
宁波发布,认证：宁波市政府新闻办公室官方微博,市,否,宁波市
瓯海发布,认证：浙江省温州市瓯海区人民政府新闻办公室官方微博,县,否,浙江省温州市瓯海区
石化实说,认证：中国石化新闻办公室官方微博,,否,
海盐发布,认证：海盐县政府新闻办公室,县,否,海盐县
安徽发布,认证：安徽省互联网信息办公室官方微博,,否,安徽省
中国食品药品监管,认证：国家食品药品监督管理总局微博,,否,
浙江省旅游局,认证：浙江省旅游局官方微博,,否,浙江省
杭州市公安消防局,认证：杭州市公安消防局,市,否,杭州市
衢州质监,认证：衢州市质量技术监督局官方微博,市,否,衢州市
装尚家,认证：唐山五合商贸办公室主管,,否,
衢州交警在线,认证：衢州市公安局交通警察支队官方微博,市,否,衢州市
浙江衢州公安,认证：浙江省衢州市公安局官方微博,市,否,浙江省衢州市
台州发布,认证：台州市人民政府新闻办公室官方微博,市,否,台州市
浙江海事,认证：中华人民共和国浙江海事局官方微博,,否,浙江省
证监会发布,认证：中国证监会办公厅新闻办官方微博,省,否,
淮南发布,认证：安徽省淮南市人民政府新闻办公室、外宣办公室官方微博,市,否,安徽省淮南市
安徽省教育厅,认证：安徽省教育厅官方微博、教育官微联盟成员,省,否,安徽省
安徽公安交警在线,认证：安徽省公安厅交警总队官方微博,省,否,安徽省
中国政府网,认证：国务院办公厅中国政府网运行中心,省,否,
安徽公安在线,认证：安徽省公安厅官方微博,省,否,安徽省
北仑科技,认证：浙江省宁波市北仑区科学技术局官方微博,县,否,浙江省宁波市北仑区
平安常州,认证：江苏常州市公安局官方微博,,否,江苏省常州市
滁州质监,认证：安徽省滁州市质量技术监督局官方微博,,否,安徽省滁州市
滁州安全监管,认证：安徽省滁州市安全生产监督管理局官方微博,,否,安徽省滁州市
滁州气象,认证：滁州市气象局官方微博,,否,滁州市
南京交警十大队,认证：南京市公安局交通管理局第十大队官方微博,,否,南京市
南京化工园公安,认证：江苏省南京市公安局化学工业园区分局官方微博,县,否,江苏省南京市业园区
南京城管,认证：南京市城市管理局官方微博,,否,南京市
平安泰州,认证：江苏省泰州市公安局官方微博,,否,江苏省泰州市
锡山发布,认证：无锡市锡山区人民政府办公室官方微博,县,否,无锡市锡山区
文明锡山,认证：无锡市锡山区精神文明建设指导委员会办公室官方微博,县,否,无锡市锡山区
无锡发布,认证：无锡市人民政府新闻办公室官方微博,,否,无锡市
宜昌夷陵YJH,认证：湖北省宜昌市夷陵区政协办公室主任科员,县,否,湖北省宜昌市夷陵区
晋江交警,认证：晋江市公安局交通警察大队官方微博,,否,晋江市
福州市食药监管,福州市食品药品监督管理局官方微博,,否,福州市
同安区旅游局,认证：厦门市同安区旅游局,县,否,厦门市同安区
福州气象,认证：福州市气象局官方微博,,否,福州市
德清发布,认证：浙江省湖州市德清县人民政府新闻办公室官方微博,县,否,浙江省湖州市德清县
义乌发布,认证：义乌市人民政府新闻办公室官方微博,,否,义乌市
亳州发布,认证：亳州市互联网信息办公室官方微博,,否,亳州市
芜湖发布,认证：安徽省芜湖市互联网宣传管理办公室官方微博,,否,安徽省芜湖市
芜湖政府网,认证：芜湖市人民政府办公室,,否,芜湖市
巢湖发布,认证：安徽省巢湖市人民政府新闻办公室官方微博,,否,安徽省巢湖市
淮北公安交警在线,认证：安徽省淮北市公安局交警支队官方微博,,否,安徽省淮北市
诸暨发布,认证：浙江省诸暨市人民政府新闻办公室官方微博,,否,浙江省诸暨市
东阳市市场监管局,认证：金华东阳市工商局官方微博,,否,东阳市
拱墅发布,认证：浙江省杭州市拱墅区人民政府办公室官方微博,县,否,浙江省杭州市拱墅区
徐州发布,认证：徐州市人民政府新闻办公室官方微博,,否,徐州市
宜兴发布,认证：江苏省宜兴市人民政府新闻办公室官方微博,,否,江苏省宜兴市
江阴发布,认证：江阴市人民政府新闻办公室官方微博,,否,江阴市
苏州发布,认证：苏州市人民政府新闻办公室官方微博,,否,苏州市
微博江苏,认证：江苏省人民政府新闻办公室官方微博,,否,江苏省
江苏教育发布,认证：江苏省教育厅官方微博、教育官微联盟成员,省,否,江苏省
昆山发布,认证：昆山市政府新闻办公室官方微博,,否,昆山市
指挥长在线,认证：江苏省太仓市公安局110指挥中心指挥长俞锦清,,否,江苏省太仓市
樟树发布,认证：中共樟树市委对外宣传办公室官方微博,,否,樟树市
常熟人社,认证：江苏省常熟市人力资源和社会保障局官方微博,,否,江苏省常熟市
文明张家港,认证：张家港市精神文明建设委员会办公室官方微博,,否,张家港市
昆山教育,认证：江苏省昆山市教育局官方微博，教育官微联盟成员,,否,江苏省昆山市
